"Class","Order","Family","Species","Stock","Year.of.first.stock.assessment","Region","Habitat","Mean ex vessel price per kg","Maximum landings","Fishbase length"
"Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser medirostris","USWC-48 STURGEON, GREEN",,"USWC-48","demersal",1.18,109.3,270
"Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser transmontanus","USWC-48 STURGEON, WHITE",,"USWC-48","demersal",3.8,349.4,610
"Actinopterygii","Anguilliformes","Anguillidae","Anguilla rostrata","USEC-NE EEL, AMERICAN",,"USEC-NE","demersal",21.44,1183.8,152
"Actinopterygii","Anguilliformes","Anguillidae","Anguilla rostrata","USEC-SE EEL, AMERICAN",,"USEC-SE","demersal",6.92,586.1,152
"Actinopterygii","Anguilliformes","Congridae","Conger oceanicus","USEC-NE EEL, CONGER",,"USEC-NE","demersal",0.6,107.6,230
"Actinopterygii","Anguilliformes","Congridae","Conger oceanicus","USEC-SE EEL, CONGER",,"USEC-SE","demersal",1.17,6.1,230
"Actinopterygii","Beloniformes","Belonidae","Strongylura marina","USEC-NE NEEDLEFISH, ATLANTIC",,"USEC-NE","reef",0.31,2.9,111
"Actinopterygii","Beloniformes","Belonidae","Tylosurus crocodilus","USEC-NE HOUNDFISH",,"USEC-NE","reef",0.33,1.1,150
"Actinopterygii","Beloniformes","Hemiramphidae","Hemiramphus brasiliensis","USEC-SE BALLYHOO",,"USEC-SE","reef",1.44,625.4,55
"Actinopterygii","Clupeiformes","Clupeidae","Brevoortia patronus","GoMex Gulf menhaden","1972","USEC-SE","pelagic",0.04,729919.6,35
"Actinopterygii","Clupeiformes","Clupeidae","Brevoortia tyrannus","USEC Atlantic menhaden","1986","USEC-NE","pelagic",0.06,697362.1,50
"Actinopterygii","Clupeiformes","Clupeidae","Clupea harengus","GeBank/GoMaine Atlantic herring TRAC","1968","USEC-NE","benthopelagic",0.05,89147.4,45
"Actinopterygii","Clupeiformes","Clupeidae","Clupea pallasii","Alaska Kodiak herring","1978","USWC-AK","pelagic",0.72,7335.9913980591,34
"Actinopterygii","Clupeiformes","Clupeidae","Clupea pallasii","Alaska Sitka herring","1976","USWC-AK","pelagic",0.15,26842.7068446579,34
"Actinopterygii","Clupeiformes","Clupeidae","Clupea pallasii","Alaska Togiak herring","1978","USWC-AK","pelagic",0.13,40831.201757283,34
"Actinopterygii","Clupeiformes","Clupeidae","Clupea pallasii","USWC-48 HERRING, PACIFIC",,"USWC-48","pelagic",0.62,11784.4,34
"Actinopterygii","Clupeiformes","Clupeidae","Dorosoma cepedianum","USEC-NE SHAD, GIZZARD",,"USEC-NE","pelagic",0.15,1389.7,57
"Actinopterygii","Clupeiformes","Clupeidae","Dorosoma cepedianum","USEC-SE SHAD, GIZZARD",,"USEC-SE","pelagic",0.17,938.7,57
"Actinopterygii","Clupeiformes","Clupeidae","Opisthonema oglinum","USEC-NE HERRING, ATLANTIC THREAD",,"USEC-NE","reef",0.03,2321.1,38
"Actinopterygii","Clupeiformes","Clupeidae","Opisthonema oglinum","USEC-SE HERRING, ATLANTIC THREAD",,"USEC-SE","reef",0.38,10083,38
"Actinopterygii","Clupeiformes","Clupeidae","Sardinella aurita","USEC-SE SARDINE, SPANISH",,"USEC-SE","reef",0.46,2921.8,30
"Actinopterygii","Clupeiformes","Clupeidae","Sardinops sagax","USWC Pacific sardine","1996","USWC-48","pelagic",0.19,324105,39.5
